event_name,participant_id,task,time,mode,interaction_group
attempts,399c9d5e13,4,1656495108,Balanced,No interaction
complete,399c9d5e13,4,1656495109,Balanced,No interaction
start,399c9d5e13,5,1656495109,Basic,No interaction
attempts,399c9d5e13,5,1656495165,Basic,No interaction
complete,399c9d5e13,5,1656495166,Basic,No interaction
start,399c9d5e13,6,1656495166,Advanced,No interaction
attempts,399c9d5e13,6,1656495195,Advanced,No interaction
complete,399c9d5e13,6,1656495196,Advanced,No interaction
start,399c9d5e13,7,1656495196,Balanced,No interaction
attempts,399c9d5e13,7,1656495254,Balanced,No interaction
complete,399c9d5e13,7,1656495255,Balanced,No interaction
start,399c9d5e13,8,1656495255,Basic,No interaction
attempts,399c9d5e13,8,1656495342,Basic,No interaction
complete,399c9d5e13,8,1656495343,Basic,No interaction
start,399c9d5e13,9,1656495343,Advanced,No interaction
attempts,399c9d5e13,9,1656495436,Advanced,No interaction
complete,399c9d5e13,9,1656495437,Advanced,No interaction
start,b5204179f5,1,1656477766,Advanced,High interaction
attempts,b5204179f5,1,1656477869,Balanced,High interaction
complete,b5204179f5,1,1656477870,Balanced,High interaction
start,b5204179f5,2,1656477870,Basic,High interaction
attempts,b5204179f5,2,1656477967,Basic,High interaction
complete,b5204179f5,2,1656477968,Basic,High interaction
start,b5204179f5,3,1656477968,Balanced,High interaction
attempts,b5204179f5,3,1656478059,Basic,High interaction
complete,b5204179f5,3,1656478060,Basic,High interaction
start,b5204179f5,4,1656478060,Advanced,High interaction
attempts,b5204179f5,4,1656478170,Advanced,High interaction
complete,b5204179f5,4,1656478171,Advanced,High interaction
start,b5204179f5,5,1656478171,Basic,High interaction
attempts,b5204179f5,5,1656478245,Balanced,High interaction
complete,b5204179f5,5,1656478246,Balanced,High interaction
start,b5204179f5,6,1656478246,Balanced,High interaction
attempts,b5204179f5,6,1656478366,Advanced,High interaction
complete,b5204179f5,6,1656478367,Advanced,High interaction
start,b5204179f5,7,1656478367,Advanced,High interaction
attempts,b5204179f5,7,1656478420,Balanced,High interaction
complete,b5204179f5,7,1656478421,Balanced,High interaction
